review_rating,level_1,review_text,author_id,author_name,author_app_version,review_datetime_utc,review_likes
1,15739,anong problema ng gcash d ko mabuksan,111060*********082869,A Google user,5.17.3,2019-06-20 09:08:51+00:00,0
1,261187,Gcash is not good for savings account because they blame someone else become scammer they block my account they not check first my account if I'm the scammer or not they not thing the person is innocent just that blocking the account the person and not responding now to my message don't trust the gcash they don't check first the account before they block the account of the person if innocent 😠😠😠😠😠,104101*********582726,A Google user,5.65.1,2023-06-30 04:45:16+00:00,0
1,288434,APP Doesn't Open Anymore after the Update.,101091*********363105,Ro**************************************t),5.69.0,2023-10-13 04:21:07+00:00,0
1,291012,App keeps crashing and verification process to make your account fully verified is always down! They seriously need to fix these issues!,108162*********988872,St***********go,5.69.0,2023-10-15 13:17:57+00:00,1
1,37079,"Garbage app, kung kelang kailangan mo chaka magiging unavailable, also my time na nag naload ako wala naman dumating. Antagal din mg replay ng tech support. Use other e wallet na lang this one is garbage.",112520*********245113,A Google user,5.27.1,2020-04-26 08:18:05+00:00,0
1,249132,Anong nangyayare gcash bakit gnito?? Dpat naba kaming kbhan ausin nyo nmn po toh..,111626*********737762,A Google user,5.53.1,2023-05-09 04:41:10+00:00,0
1,204127,Hay nako lalo nyo pa tutulungan ang manga scammer ang pangit ng pag update nyo ng gcash pati text d na malaman ang full name nahihirapan kami mang hula kung ganyan lang din gcash nyo aba wag na kayo mag pa gcash 😡😡😡😡😡pi nahihirapan nyo manga tao😡😡😡😡😡,108232*********242489,A Google user,5.56.0,2022-10-02 01:53:44+00:00,0
1,144114,"This is the worst ewallet so far. First, there was an unauthorised transaction made from my account and I contacted their customer service but was not reimbursed for the reason that the transaction made was valid. Second, the day I contacted their customer service via email, it took 1 week after they provided a response. The result? more unauthorised transaction was made in my account. Please, for your safety and money protection, don't use this e wallet. This app is an easy target for frauds.",114368*********079065,A Google user,5.49.1,2022-02-22 05:05:36+00:00,24
1,2167,Ang hirap mag log in ulit sa gcash kahit may network nman ..,103724*********215429,A Google user,4.7.1,2018-02-26 03:58:21+00:00,0
1,22103,Lagi may issue,106406*********943712,A Google user,5.19.4,2019-09-11 04:17:25+00:00,0
1,51297,First registration of account. And I already got locked out and I can't even request to change my MPIN,102996*********623098,A Google user,5.31.1,2020-08-20 00:13:12+00:00,0
1,42297,I cant update it,114856*********578698,A Google user,5.24.0,2020-06-17 02:03:02+00:00,0
1,155416,"It's supposed to give convenience but it is giving me so much frustration upon verifying my account! I've been trying to fill in my details but it's not clicking, it's not showing any selection. What a bad experience.",112008*********522501,A Google user,5.50.0,2022-04-01 23:36:22+00:00,12
1,183135,"Why so loading Its hard to open when always loading, always updating and still loading!!!",116632*********478752,A Google user,5.53.1,2022-07-05 11:25:39+00:00,0
1,107116,Update lang malakas,115652*********065505,A Google user,5.43.0,2021-09-11 00:55:48+00:00,0
1,266334,The badges prize are all scam I can't claim my 50 scammmmmmm,115637*********844862,A Google user,5.66.2,2023-07-20 10:34:10+00:00,0
1,231706,Parang Every week naman po yung pag uupdate tas ang hina sa internet connection..,117761*********378223,A Google user,5.60.0,2023-02-09 03:43:16+00:00,0
1,25558,Hack!!! Gcash is not safe anymore!!! Someone is hacking my account!!! Ive lost my money!!! Fix this GCASH!!!,110033*********793120,A Google user,5.21.2,2019-11-10 01:41:17+00:00,0
1,224300,why this app keeps disappearing? please fix this immediately.,110740*********104153,A Google user,5.59.1,2022-12-13 11:24:44+00:00,0
1,154987,"Give me back my load, poor customer service",108250*********183071,A Google user,5.50.0,2022-03-31 01:29:44+00:00,1
1,219245,"This app is good before when I used time, but after few months of some updates it makes me mad due to late of opt respond then I try again money send again and again but the code is not yet come... And my request is suspended due three attempts of request..... And wait again for 5 min... What happened to this apps",104882*********824116,A Google user,5.59.0,2022-12-02 03:42:17+00:00,1
1,300295,very poor..please hasten your apps,103516*********475588,A Google user,5.69.1,2023-10-27 09:48:39+00:00,0
1,170465,update nalang ng update kaka update lang di tuloy makuha pera,114351*********320665,A Google user,5.52.0,2022-05-27 23:46:04+00:00,0
1,220535,nawawala ang app. nkakapagod mag uninstall install ulit. kada oras,111886*********601608,A Google user,5.59.0,2022-12-03 11:03:20+00:00,0
1,50318,having hard times of using it,115367*********634644,A Google user,5.29.1,2020-08-15 01:59:21+00:00,0
1,51965,The only problem with this app is the update..it took so long and it is so annoying!,105615*********200997,A Google user,5.31.0,2020-08-21 02:23:39+00:00,0
1,39861,Canot b update,114073*********358167,A Google user,5.28.1,2020-06-01 00:34:32+00:00,0
1,115750,"Ambobo ng app niyo, ayaw mabuksan. Pag mag log-in laging error, kindly submit a ticket blah blah. Pukingina ano kayo LTO? Ina niyo ayusin niyo app niyo, parang signal niyo bulok",106264*********052510,A Google user,5.45.0,2021-10-05 08:28:35+00:00,0
1,12193,can't log in.. forgot my pin no# and no service avalable.. fix my problem. i already contact your service no one answers my problem on my pin no#,100792*********806093,A Google user,5.15.3,2019-04-23 16:22:22+00:00,1
1,103028,Its just a to waste money..they detect our money....evan we are using their app...,102716*********933580,A Google user,5.43.0,2021-08-20 09:44:17+00:00,0
1,290576,I cant open my gcrypto its been 1 week already since i cant open my gcrypto hope you will fix it,108546*********368215,Kh***********od,5.69.0,2023-10-15 04:43:39+00:00,0
1,237117,"I bought 2 paytv load and did not received my e-pins. I created a ticket and after 2 days they marked it ""solved"". Long story short, I stil didn't recieved my e-pins or even a refund and it's almost 1 month. Furthermore, theres no living customer service being you can contact to. They always refer you to gigi which is completely useless and terrible bot chat service.",110760*********095984,A Google user,5.62.0,2023-03-16 13:45:10+00:00,1
1,290753,No internet connection daw kahit meron,117363*********991274,Ve***********er,5.69.0,2023-10-15 07:59:57+00:00,0
1,236275,Verification process is so slow,103812*********928831,A Google user,5.62.0,2023-03-14 14:05:18+00:00,0
1,234114,Never ending update.................,107324*********650381,A Google user,5.60.0,2023-02-25 02:15:19+00:00,0
1,1220,Oops no connection to internet bigla. Nyare?,111364*********758370,A Google user,4.0.5,2017-07-23 22:23:56+00:00,1
1,55558,i think think this app need a dslr HD CAMERA to detect the ID Photo because it keeps saying the photo i took is unclear! pisti!,109871*********366063,A Google user,5.31.1,2020-09-22 07:49:37+00:00,0
1,208072,App disappeared after I tried to verify it,115088*********480187,A Google user,5.57.1,2022-10-14 10:35:46+00:00,0
1,48931,1.Doesn't get me verified 2.There's no see more available id option for student's or any other id 3.It doesn't send codes to emails. For verification,104783*********699014,A Google user,5.30.2,2020-08-03 10:26:24+00:00,0
1,113508,Hindi to nag bibigay ng pera kapag nawala. Mag aantay ka lang ng matagal wag muna subukan gamitin ito,104956*********106210,A Google user,5.44.1,2021-09-23 15:41:18+00:00,0
1,218197,Slow. Always lagging while other apps are working just fine. Same with GlobeOne.,116749*********040871,A Google user,5.59.0,2022-12-02 01:38:45+00:00,0
1,54137,inconvenient to use,118065*********689591,A Google user,5.31.1,2020-09-03 01:03:03+00:00,0
1,113976,I cannot even open the app...what happened.,102292*********839304,A Google user,5.44.1,2021-09-25 13:23:38+00:00,0
1,277783,i.d dapat full frame..ilang try dn ako . oa nman ng system . ayaw. android lng ksi phone ko..,104129*********037997,A Google user,5.68.0,2023-09-17 03:00:40+00:00,0
1,31756,keeps on crashing!! fix it !!!!!!!!!,107846*********359516,A Google user,5.25.0,2020-02-14 16:29:07+00:00,0
1,154351,worst service money apps,108979*********686092,A Google user,5.50.0,2022-03-26 03:03:36+00:00,0
1,290580,Not safe tas lagi pang nagloloko hays,117794*********555103,Jo**********er,5.52.0,2023-10-15 04:48:25+00:00,0
1,110985,ask q lng kapag nag unstall ng gcash then may amount pa mbblik din po ba agd?? salamt,114214*********383251,A Google user,5.44.1,2021-09-15 13:34:48+00:00,0
1,207358,"fix this gcash I can't log in, I can't uninstall either!!",104938*********284444,A Google user,5.57.1,2022-10-12 21:50:31+00:00,0
1,256064,"The BPI cash in limit is annoying. There were no notices, and no instruction on how to adjust transaction limits",101775*********457781,A Google user,5.64.2,2023-05-28 03:56:58+00:00,0
1,291100,Always gcash has stop,105609*********570714,Ja******in,5.69.0,2023-10-15 15:13:25+00:00,0
1,289797,Everytime I open my gcash. Its always dissappear. I try to open in Google. I ts the same. Sometimes busy network,109631*********833772,Je*******yo,5.69.0,2023-10-14 08:29:57+00:00,0
1,205149,Updating the app taking so long even if my internet connection is good. It keeps on showing pending and no progress,117541*********696768,A Google user,5.46.0,2022-10-08 02:46:19+00:00,0
1,255042,Fix your system. Even after updating app and 2-step verification and clearing cache I still can't access Gcash.,115223*********657967,A Google user,5.64.2,2023-05-27 07:05:59+00:00,0
1,147003,Lagi nalang under maintenance,115409*********783296,A Google user,5.50.0,2022-03-03 07:28:09+00:00,0
1,271113,Di ako makapag registered,102086*********653571,A Google user,5.67.0,2023-08-02 06:46:48+00:00,0
1,14900,"Worst Customer Service! We are transacting our money in this app however it has very bad customer service (for me they have no customer service at all since their messenger app is not responding or helping at all). It is dangerous to use this app cause if issue occurs, good luck in resolving it... I need for my money to return (right now i dont know how 😥) then I'm not gonna use this app anymore",103125*********117696,A Google user,5.17.1,2019-06-05 03:53:12+00:00,18
1,209523,My gcash isn't working even it is verified the problem to too long to fix for this transaction,102932*********556809,A Google user,5.57.1,2022-10-19 16:01:05+00:00,0
